X;Force
 M;Newtons
0;2,22
0,01;2,22
0,0199;2,22
0,0299;2,22
0,0399;2,22
0,0499;2,22
0,0598;2,22
0,0698;2,207
0,0798;3,524
0,0897;8,979
0,0997;14,346
0,1097;15,417
0,1196;13,773
0,1296;13,67
0,1396;15,778
0,1496;16,911
0,1595;15,669
0,1695;15,041
0,1795;15,424
0,1894;16,761
0,1994;17,026
0,2094;15,976
0,2193;16,147
0,2293;16,992
0,2393;16,085
0,2493;14,196
0,2592;13,139
0,2692;12,327
0,2792;12,184
0,2891;13,834
0,2991;15,281
0,3091;15,076
0,319;13,998
0,329;12,47
0,339;11,966
0,349;12,416
0,3589;12,327
0,3689;12,327
0,3789;14,291
0,3888;17,408
0,3988;18,26
0,4088;16,712
0,4187;15,267
0,4287;15,267
0,4387;14,203
0,4487;12,613
0,4586;12,027
0,4686;11,666
0,4786;13,33
0,4885;15,71
0,4985;17,244
0,5085;18,349
0,5184;19,495
0,5284;20,381
0,5384;22,011
0,5484;22,987
0,5583;22,584
0,5683;23,518
0,5783;23,355
0,5882;21,561
0,5982;19,427
0,6082;16,31
0,6181;13,487
0,6281;12,777
0,6381;13,31
0,6481;14,107
0,658;15,143
0,668;17,756
0,678;21,821
0,6879;21,411
0,6979;19,645
0,7079;20,074
0,7178;21,05
0,7278;19,093
0,7378;16,856
0,7478;14,905
0,7577;12,587
0,7677;12,109
0,7777;13,453
0,7876;15,293
0,7976;16,099
0,8076;16,133
0,8175;15,976
0,8275;16,33
0,8375;16,392
0,8475;15,498
0,8574;15,253
0,8674;15,314
0,8774;14,919
0,8873;14,967
0,8973;15,819
0,9073;17,872
0,9173;20,129
0,9272;20,429
0,9372;19,904
0,9472;19,965
0,9571;21,214
0,9671;19,822
0,9771;19,693
0,987;20,688
0,997;20,04
1,007;17,858
1,017;14,203
1,0269;12,211
1,0369;10,514
1,0469;9,824
1,0568;11,14
1,0668;13,118
1,0768;14,789
1,0867;16,276
1,0967;15,969
1,1067;15,949
1,1167;15,907
1,1266;15,512
1,1366;15,54
1,1466;15,744
1,1565;15,71
1,1665;15,887
1,1765;14,434
1,1864;13,794
1,1964;15,267
1,2064;16,105
1,2164;15,035
1,2263;13,65
1,2363;13,63
1,2463;12,818
1,2562;11,843
1,2662;13,037
1,2762;15,717
1,2861;18,281
1,2961;17,271
1,3061;16,535
1,3161;15,928
1,326;15,464
1,336;15,928
1,346;16,154
1,3559;15,771
1,3659;14,257
1,3759;12,955
1,3858;11,864
1,3958;12,17
1,4058;11,973
1,4158;12,327
1,4257;14,298
1,4357;16,187
1,4457;17,067
1,4556;15,914
1,4656;14,346
1,4756;13,889
1,4855;14,81
1,4955;15,853
1,5055;15,464
1,5155;16,917
1,5254;19,603
1,5354;18,867
1,5454;19,031
1,5553;22,454
1,5653;27,283
1,5753;24,848
1,5852;20,845
1,5952;18,744
1,6052;16,576
1,6152;15,785
1,6251;15,505
1,6351;14,728
1,6451;13,705
1,655;12,498
1,665;11,891
1,675;13,01
1,6849;14,005
1,6949;14,25
1,7049;15,464
1,7149;14,7
1,7248;13,153
1,7348;12
1,7448;11,639
1,7547;13,063
1,7647;16,378
1,7747;16,644
1,7846;15,492
1,7946;15,894
1,8046;16,685
1,8146;15,744
1,8245;15,635
1,8345;17,763
1,8445;20,081
1,8544;19,781
1,8644;20,204
1,8744;18,022
1,8844;14,367
1,8943;13,65
1,9043;14,857
1,9143;15,198
1,9242;14,681
1,9342;13,977
1,9442;13,439
1,9541;13,684
1,9641;14,271
1,9741;14,605
1,9841;16,31
1,994;17,551
2,004;17,354
2,014;15,785
2,0239;13,855
2,0339;14,974
2,0439;19,795
2,0538;21,473
2,0638;19,365
2,0738;18,137
2,0838;15,519
2,0937;12,553
2,1037;11,911
2,1137;14,721
2,1236;20,429
2,1336;23,716
2,1436;25,707
2,1535;23,668
2,1635;19,003
2,1735;16,256
2,1835;14,441
